	0
378	AC009509.2
379	KIAA0513
380	AC020928.2
381	PROX2
382	MELTF-AS1
383	VPS13C
384	NOX5
385	MTRNR2L5
386	AC018557.3
387	HRH1
388	CPNE3
389	EMX2
390	AC025766.1
391	SPACA6
392	SLC35G6
393	AL136309.3
394	ABCC1
395	UNK
396	ACSF2
397	KIAA0586
398	AL033539.1
399	HSD17B3-AS1
400	WDR75
401	AC103879.1
402	WNT3A
403	AL157996.2
404	TSPAN1
405	AC010175.1
406	OGA
407	PDCD1LG2
408	AC145350.2
409	ZNF81
410	PSMD9
411	NBR2
412	RIC8B
413	DBI
414	AL357054.4
415	RBM19
416	SSBP3
417	AC005234.2
418	C8orf34-AS1
419	LINC02562
420	MARCOL
421	BAG5
422	AL022337.1
423	AC034243.1
424	DGUOK-AS1
425	AL356289.1
426	AC007620.3
427	FIGLA
428	FAM135B
429	DARS-AS1
430	FFAR3
431	LMAN1L
432	PREP
433	AC138811.1
434	TCOF1
435	DDO
436	AC093157.2
437	AC079766.1
438	AC008395.1
439	CIART
440	AC136475.4
441	ACCSL
442	AL137077.2
443	DOCK9-AS1
444	TLR5
445	PDGFC
446	SLC16A11
447	AC002401.2
448	TNFSF18
449	AC110792.2
450	HNF4G
451	LYST
452	AC091614.1
453	SNX29
454	AL136221.1
455	PLXNA3
456	LINC01679
457	FANCM
458	AC145124.1
459	SPTB
460	AC027129.1
461	SLC6A3
462	FAM9C
463	OMA1
464	LINC01856
465	KLHL35
466	AC010132.1
467	INPP4A
468	SLC66A3
469	AC090192.2
470	IER5L
471	AC112487.1
472	AC034236.2
473	AL355482.2
474	ACAP2
475	NSUN3
476	AC024559.1
477	TRPT1
478	COLEC10
479	KCNH1
480	PIGS
481	C9orf92
482	PPIP5K1
483	AC115220.1
484	C11orf24
485	AC243654.1
486	DENND6A
487	Z99289.2
488	ZRANB1
489	AL583859.3
490	ST7-AS1
491	AC134772.1
492	SETD3
493	TSNAX
494	AL021937.3
495	ZNF292
496	VCX3A
497	LYPD6B
498	MRPS10
499	TMEM131L
500	FOXN4
501	SLC9A9
502	CCNI
503	AC022762.2
504	AL359551.1
505	GANC
506	AC111152.2
507	TEX264
508	MRPS6
509	CDCP2
510	AC007344.1
511	SCML2
512	TIMM23B-AGAP6
513	IRAK3
514	GASAL1
515	HSPE1
516	AC034102.6
517	GSG1L2
518	MIR2052HG
519	PLA2G3
520	C1QA
521	NKX6-3
522	SLC27A6
523	AL109615.2
524	NBPF12
525	AC137932.2
526	OR5K2
527	AL355377.4
528	MTR
529	SCN2A
530	AC103563.2
531	TMED8
532	ASPHD1
533	AC073130.1
534	IGHVIII-38-1
535	LINC01833
536	OSTM1
537	PLCXD3
538	SYN2
539	AC104667.2
540	RAB7A
541	IGLC1
542	BST1
543	CNTN3
544	NEK9
545	TDP2
546	ZBTB40
547	AKR1C8P
548	ARNT
549	NPTN
550	RABGAP1L
551	CDH4
552	AL133153.2
553	AC005594.1
554	BDH2
555	AC113385.1
556	IGLV4-69
557	AQP6
558	C11orf98
559	ZCCHC14
560	LUNAR1
561	C8A
562	BRICD5
563	TCEAL3
564	ZFAND5
565	FFAR1
566	C2orf49
567	FAM181B
568	VPS72
569	AL034347.1
570	DDX24
571	JAM3
572	CYP7B1
573	NLGN4Y
574	ZC3H10
575	USB1
576	ARNTL2-AS1
577	POLH-AS1
578	AKAP10
579	AL117329.1
580	AC005280.1
581	NT5M
582	AC092636.1
583	ZNF790
584	CBFA2T2
585	ZNF552
586	AL160408.2
587	SPC24
588	AC017015.2
589	RGMB
590	AC125257.2
591	AL024508.1
592	AC009505.1
593	MED13
594	ZNF267
595	AL138889.3
596	CNTD2
597	TUBA8
598	GSK3B
599	AL807752.2
600	SLF2
601	LINC02059
602	AL606469.1
603	TRH
604	AC243967.3
605	AC009509.1
606	ITGA1
607	TSSK6
608	SPAG17
609	KMT2B
610	AL590560.5
611	DNAI2
612	UBXN11
613	ARMCX6
614	IHH
615	AC079411.1
616	VPS8
617	GPR137B
618	AC134682.1
619	SELENOO
620	AC125603.2
621	AC016405.1
622	LINC02750
623	AC007383.2
624	AL354733.3
625	CHRM1
626	LRRCC1
627	AP002784.1
628	OR56B4
629	MUCL1
630	AGTR1
631	LINC02024
632	RAD51AP1
633	GOT1L1
634	SCLT1
635	DUS3L
636	GPR89A
637	CYBA
638	AP001029.1
639	HSPA9
640	CYP51A1-AS1
641	ELMO2
642	AL365205.4
643	FAP
644	ODAPH
645	UBA3
646	SFRP1
647	COMMD9
