	0
375	IGLON5
376	AC006449.2
377	GTF3C2-AS1
378	LINC02102
379	SMYD4
380	ZDHHC13
381	CYMP-AS1
382	AC007308.1
383	CALR3
384	CHST7
385	AL133485.2
386	HSPA8
387	LGI3
388	EGR4
389	IBSP
390	CCDC14
391	MGA
392	SLC29A4
393	C3orf14
394	ARMCX3
395	TTPAL
396	NDP
397	AC006967.3
398	ODF3B
399	AC066585.1
400	RIMS1
401	AC131254.2
402	PRPF6
403	MYADML2
404	LINC02828
405	AC005519.1
406	TCTE3
407	CTNNA2
408	USP38
409	AL162311.3
410	LRFN3
411	ACAD11
412	AC099063.4
413	ASNS
414	CDV3
415	AC114730.1
416	AC012464.2
417	NXF1
418	AC129915.3
419	SYNPO2
420	CD99L2
421	AC244033.2
422	CARMIL3
423	BRSK1
424	AP003025.1
425	EBF1
426	NCOA2
427	SLC35G5
428	NAT14
429	YPEL2
430	TSNARE1
431	AC016825.1
432	AC079414.3
433	AC073174.1
434	AL451069.2
435	SNAPC5
436	ZNF771
437	PRDM1
438	DNAJC4
439	SPATC1L
440	RRH
441	IL2RG
442	AL136298.1
443	SMARCD3
444	AF186192.1
445	LINC01920
446	PMS1
447	AC109782.1
448	FRMD3
449	PKIA-AS1
450	ACSL6
451	DDT
452	MGAM
453	AC006157.1
454	AC009163.6
455	PYGO1
456	AL513548.3
457	ARFGAP2
458	AL355512.1
459	CPSF4
460	AP000808.1
461	HPX
462	AC055717.1
463	AC004148.1
464	AL161757.3
465	LINC01842
466	TPPP2
467	SIAH3
468	AL449403.2
469	AC007610.5
470	SMCO3
471	SVBP
472	LHFPL3-AS1
473	TH2LCRR
474	AC015574.1
475	PDE8B
476	AL078587.2
477	THNSL2
478	SLC2A1-AS1
479	AC120053.1
480	FP325330.1
481	HSD17B8
482	NUDT13
483	AC107398.4
484	AL772284.2
485	GRAMD4
486	LINC00640
487	AL445253.1
488	AC087362.1
489	HS6ST3
490	AC122129.1
491	ITPKB
492	C4orf45
493	AC138035.1
494	AC022217.2
495	RETREG3
496	AL133320.2
497	C16orf95
498	CFAP58
499	CPTP
500	NOP58
501	VPS4A
502	JPT2
503	ASCL1
504	AC106772.1
505	REV3L
506	PSMB9
507	MFSD4A
508	PGAP2
509	PRSS3
510	AC010654.1
511	KSR1
512	AC019294.2
513	AL136369.2
514	BICDL1
515	MATN4
516	NDST1
517	CSN2
518	BCL11B
519	AL160286.2
520	TM4SF4
521	BTBD6
522	SLTM
523	TREML4
524	FARSB
525	INO80-AS1
526	AL137100.3
527	AL023806.1
528	AL136172.1
529	AC027807.2
530	LINC02084
531	VWCE
532	PPM1F
533	AC093801.1
534	AC022706.1
535	AC026992.1
536	VSIG10L2
537	AC099791.4
538	RIPK2
539	GUCA1B
540	HCFC1
541	PVR
542	UTP15
543	AC068888.2
544	AC011503.1
545	C12orf50
546	AC011455.6
547	BRDT
548	SRC
549	JAK1
550	L3MBTL3
551	THAP5
552	AC008781.1
553	AC100825.1
554	CETP
555	DDX58
556	DVL2
557	CHD4
558	ZNF124
559	UBQLN1
560	CUTC
561	GLRA4
562	GABRE
563	FAM110D
564	SLC30A9
565	TDRD6
566	AP001020.1
567	LPIN1
568	AC010261.2
569	STARD13-AS
570	AC108865.2
571	ENOX1-AS2
572	CROCC
573	AC092681.2
574	PLEKHG2
575	KYAT3
576	PNMA3
577	HMGB3
578	ZNF559
579	AC016042.1
580	CREB3L4
581	FAM224B
582	ZNF440
583	AC084724.1
584	PPP3CB
585	CFAP58-DT
586	DAZAP2
587	FBXO4
588	FSIP2-AS1
589	AL162511.1
590	AC011495.2
591	EHMT2-AS1
592	ZSCAN10
593	AL136221.1
594	ZFP42
595	LINC01626
596	ERVV-2
597	IGHV3-23
598	GHET1
599	RAMACL
600	BX323046.1
601	GRP
602	LINC02601
603	MFAP3L
604	SLC22A1
605	DANCR
606	AC062015.1
607	AC006252.1
608	FAM184A
609	AL096712.2
610	BX322234.2
611	RCL1
612	AC025871.1
613	TOP3A
614	AC015802.4
615	AC006111.2
616	ADAMTSL1
617	AL353600.2
618	SUMO1
619	TRBV29-1
620	GHRL
621	AL583722.2
622	BTG1
623	USP17L2
624	C11orf1
625	AL021393.1
626	AC006557.3
627	AC234781.1
628	AC124067.2
629	FAM161A
630	MX2
631	AC073359.2
632	ALDH3A1
633	AC100844.1
634	AL356599.1
635	ZNF770
636	CDH11
637	EXOC6
638	WDR35
639	AC093227.1
640	AC132872.5
641	ZNF32
642	IL18RAP
643	ALG1
644	RABL3
645	ZIC1
646	EPHA2
647	AC026471.3
648	MAP1S
649	TCEANC
650	PAX3
651	FCN1
652	EIF3H
653	AC007493.2
654	BICRA
655	SNTA1
